Zone_name,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,Line_Max_Flow_MW,transmission_path_name,distance_km,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1,bus0,bus1,bus0_x,bus0_y,bus1_x,bus1_y
DE1 0,z1,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4362.853663128363,DE1 0_to_DE1 11,192.83977018343904,0.01205248563646494,4362.853663128363,9160.770252856728,0.95,0,0,DE1 0,DE1 11,8.585665971628911,49.23105928069339,8.05974729506191,47.888021872066325
DE1 1,z2,2,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15060.900117093684,DE1 0_to_DE1 12,140.56480167516264,0.008785300104697665,15060.900117093684,6677.47038154851,0.95,0,0,DE1 0,DE1 12,8.585665971628911,49.23105928069339,9.580929922241054,48.46048443999676
DE1 10,z3,3,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3566.015484655108,DE1 0_to_DE1 18,163.12173380258994,0.01019510836266187,3566.015484655108,7749.02773007718,0.95,0,0,DE1 0,DE1 18,8.585665971628911,49.23105928069339,6.961294780838478,49.74481058636263
DE1 11,z4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9117.54097600184,DE1 0_to_DE1 7,117.90022256580347,0.007368763910362717,9117.54097600184,5600.799309491994,0.95,0,0,DE1 0,DE1 7,8.585665971628911,49.23105928069339,8.614807726224376,50.079091212058565
DE1 12,z5,5,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.3436564367385,DE1 1_to_DE1 14,176.6681518032778,0.011041759487704863,2377.3436564367385,8392.544484610844,0.95,0,0,DE1 1,DE1 14,9.745630895271958,51.04223934252158,11.750300384615384,51.22456746153846
DE1 13,z6,6,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.3436564367385,DE1 1_to_DE1 15,172.81229164524115,0.010800768227827572,2377.3436564367385,8209.373507994782,0.95,0,0,DE1 1,DE1 15,9.745630895271958,51.04223934252158,10.358713631896448,52.22589869741621
DE1 14,z7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.3436564367385,DE1 1_to_DE1 7,167.00251144715912,0.010437656965447446,2377.3436564367385,7933.382401162417,0.95,0,0,DE1 1,DE1 7,9.745630895271958,51.04223934252158,8.614807726224376,50.079091212058565
DE1 15,z8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4754.687312873477,DE1 1_to_DE1 9,161.31928818922682,0.010082455511826675,4754.687312873477,7663.4033272811075,0.95,0,0,DE1 1,DE1 9,9.745630895271958,51.04223934252158,8.718996773319988,52.01133541053488
DE1 16,z9,9,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.3436564367385,DE1 10_to_DE1 16,111.30920270358725,0.006956825168974203,2377.3436564367385,5287.69574878798,0.95,0,0,DE1 10,DE1 16,8.442956595095849,53.183449756764006,7.383087924978485,52.70033777690464
DE1 17,z10,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971.02001338325,DE1 10_to_DE1 5,129.48686174027887,0.00809292885876743,3971.02001338325,6151.217614695066,0.95,0,0,DE1 10,DE1 5,8.442956595095849,53.183449756764006,9.656115621028528,53.772222705953226
DE1 18,z11,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593.6763569465115,DE1 10_to_DE1 9,164.5745524589509,0.010285909528684432,1593.6763569465115,7818.043254817367,0.95,0,0,DE1 10,DE1 9,8.442956595095849,53.183449756764006,8.718996773319988,52.01133541053488
DE1 19,z12,12,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4754.687312873477,DE1 11_to_DE1 12,161.896381937343,0.010118523871083938,4754.687312873477,7690.817917310038,0.95,0,0,DE1 11,DE1 12,8.05974729506191,47.888021872066325,9.580929922241054,48.46048443999676
