Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26,Load_MW_z27,Load_MW_z28,Load_MW_z29,Load_MW_z30,Load_MW_z31,Load_MW_z32,Load_MW_z33,Load_MW_z34,Load_MW_z35,Load_MW_z36,Load_MW_z37,Load_MW_z38,Load_MW_z39,Load_MW_z40,Load_MW_z41,Load_MW_z42,Load_MW_z43,Load_MW_z44,Load_MW_z45,Load_MW_z46,Load_MW_z47,Load_MW_z48,Load_MW_z49,Load_MW_z50,Load_MW_z51,Load_MW_z52,Load_MW_z53,Load_MW_z54,Load_MW_z55,Load_MW_z56,Load_MW_z57,Load_MW_z58,Load_MW_z59,Load_MW_z60,Load_MW_z61,Load_MW_z62,Load_MW_z63,Load_MW_z64,Load_MW_z65,Load_MW_z66,Load_MW_z67,Load_MW_z68,Load_MW_z69,Load_MW_z70,Load_MW_z71,Load_MW_z72,Load_MW_z73,Load_MW_z74,Load_MW_z75,Load_MW_z76
500000,1,1,0,5000,50,24,120.0,1,4298.902484235341,1184.2131440460469,2360.087956112911,1573.2249388346772,4882.418927170398,3305.5999774570564,3715.3584685911105,3121.447076099338,903.4999430257701,1142.2229421694622,2840.452856788571,4295.577180180653,3291.4667022958483,3219.810692688062,4417.062956339711,3415.911627184274,1808.518500520212,4785.93936129929,5822.466709796261,2422.780294874436,2576.3767422487704,2910.4554599595235,3886.123933482187,3438.295744313709,3876.217215471625,4873.78036439071,5233.313161160467,2463.6546290063525,1259.6890012069327,659.6189003350206,2608.057957927895,2763.3874528677006,2166.792831831761,5084.793791779091,2275.834199164643,2204.871617246143,3904.961802186711,2621.2390184472847,4556.618458628165,3465.755191134997,2260.096375962149,4920.06208548105,2372.249750751483,2606.3115347429584,2438.0178506724114,3420.8456993296427,13782.942105732776,2335.801066068569,2521.2619589555898,3988.161517123149,2177.6055981729733,311.6367979688993,619.921770221624,884.613177292803,679.2388527205782,13103.170828056125,5194.795043798915,2915.243577687394,2534.324871299373,3394.519533844043,3586.3743561689744,3903.5423875502474,1064.614958863985,991.1325543196983,4611.029901964883,4081.545365435336,1803.0814468973826,1608.3605708168777,1824.7962422869339,2176.3496752467195,2517.658539806471,2747.0444981989194,1515.9914078754684,2005.303398127584,2939.044416071604,1687.045207909182
,,,,,,,144.0,2,4181.329766102271,1151.8255377116816,2295.540794357604,1530.623433228518,4748.887341563743,3215.1935593063727,3613.7453723743497,3036.0771437196518,878.7896956923784,1110.9837470710925,2762.767967661119,4178.095407891114,3201.4468222477626,3131.750567290329,4296.258611397825,3322.488243762748,1759.0564722266624,4655.046441488381,5663.225312537809,2356.5185307329875,2414.9294495059307,2728.073301155292,3642.6020223731766,3222.8367505462616,3633.3161038274857,4568.3674830073005,4905.370346233368,2309.2710075655064,1180.7512527392112,618.28422912055,2508.5275812177774,2659.280215741725,2084.1022972559513,4890.744637227571,2188.9823584868373,2120.727895695664,3755.93815139405,2521.205618181242,4382.725870095454,3333.4928245696933,2173.845131402191,4732.299527498643,2281.718437841895,2507.957778483986,2344.976653923313,3290.2971960361265,13256.948651900104,2246.6607315695683,2425.043946304766,3868.201893469076,2112.105556759692,302.26309715723625,601.2751880309139,858.0049613618254,658.8080761678544,12709.041501358437,5038.5411772365205,2827.556176687936,2458.095096367461,3292.416024598204,3478.500060771069,3786.128017721681,1032.5924826611486,941.5602015441481,4380.836070306586,3883.441193699959,1712.8987673180284,1527.9170248948424,1733.5274781232004,2067.497661953468,2391.735668210836,2609.648689695235,1440.1677855393252,1905.0064131394724,2792.0455654988527,1607.4586931715785
,,,,,,,144.0,3,4227.236935485468,1164.471526721248,2320.7437284390676,1546.4513210082432,4801.025773566315,3250.493439208667,3653.4209848660084,3069.410488866247,888.4380013566043,1123.181329761508,2793.100628283126,4223.967067138006,3236.5957741962434,3166.1343182646065,4343.427594367932,3358.966121085775,1778.369300706383,4706.154586782227,5725.402337609175,2382.3909444440087,2339.5026305316524,2642.865887633915,3528.8306312592285,3122.176118904516,3519.834744649077,4425.681149866232,4752.158217368474,2237.144277455394,1143.8721998437568,598.9730178630273,2405.5529411032667,2551.092733827479,1998.5502449202363,4689.980382932184,2099.1249969170617,2033.6723679959764,3601.757514668277,2417.7105464655356,4202.815701995196,3196.65349868533,2084.609150320272,4538.039419551688,2188.0542754794496,2405.419188992919,2248.715752084414,3155.2310432510276,12712.753115838212,2154.4356824646025,2325.496295351888,3707.760467346658,2024.5017454854292,289.7261294469125,576.3360944823518,822.4174858725589,631.4826907817073,12181.908531579224,4829.557583349107,2710.2776163888025,2356.140676162832,3155.8564716499955,3334.2222988481462,3629.0907694675593,989.7636395471493,927.3685922799391,4314.720042693693,3812.1807592167856,1687.0812040188187,1504.88758763417,1707.3989902172823,2036.335428460886,2355.6863771362723,2570.3149175604367,1418.460943336105,1876.2933194009904,2749.96262738959,1573.1279863883703
,,,,,,,168.0,4,4364.843942207965,1202.3779523355443,2396.289671027367,1595.2562924504066,4957.311024068666,3356.3050313549734,3772.3488649921637,3169.3273835826917,917.3588533195444,1159.7436572193712,2884.0229545991306,4361.46763133819,3341.9549636522033,3269.199813615907,4484.816893733412,3468.308766724382,1836.2596154014857,4859.351545619586,5911.778329511885,2459.943656075585,2322.446847399456,2623.598481216078,3503.104234797841,3099.414374366342,3494.1739313280714,4393.4164031383025,4717.51334060678,2220.834720853645,1135.532975381043,594.6062973364393,2406.877657797264,2551.362318466057,1999.650829124814,4692.563114128798,2100.28096671628,2034.79229306234,3603.740971172037,2419.0419581859205,4205.130155524766,3198.413866752664,2085.7571261310254,4540.538477080105,2189.259217125935,2406.694095051543,2249.954099519724,3156.9686013488135,12719.753915944324,2155.622110483053,2326.7769254680634,3562.393706732381,1945.1289643964599,278.3671030866331,553.7402143715593,790.1737186197523,606.724728786887,11704.30362207863,4640.2095535569715,2604.018251112689,2263.7656311730284,3032.127704114335,3203.5005062049872,3486.8083401791673,950.9588853440008,936.0172184672429,4354.6143728764355,3843.610177434703,1702.814899153095,1518.9221482699343,1723.3221688362944,2055.326263588633,2377.6554747494893,2594.2856377360176,1431.6894900701375,1893.791604059401,2775.6087391508127,1584.5264075209207
,,,,,,,144.0,5,4656.7722884381565,1282.79507883729,2556.5576874574353,1700.7881375497636,5288.864598093472,3580.7805426435416,4024.650110158301,3381.2975046708716,978.7134071512353,1237.3093286681271,3076.911420565288,4653.170163318673,3565.4707177230357,3487.8495759937787,4784.769239118489,3700.275282466659,1959.0718482127988,5184.353419519435,6307.1683342601345,2624.468961607797,2372.8726416519175,2680.562987275921,3579.1648845182444,3166.709965582581,3570.040683454753,4488.807827731581,4819.94167357722,2269.0542773978123,1160.1880735348536,607.5166014934142,2539.1285358724504,2690.046636977387,2109.5257853497224,4950.405712828731,2215.6852539144743,2146.5981701003047,3801.7559819809544,2551.9612284338054,4436.189740182563,3374.157340500725,2200.363371067934,4790.027767050678,2309.552599349335,2538.551926861891,2373.582487785282,3330.434779695674,13418.667136304663,2274.0672317854005,2454.6265029650713,3454.554801458964,1886.2470446001444,269.940520703313,536.9776822025567,766.2539959974407,588.3582772885849,11349.997108392836,4499.743574352393,2525.19078147652,2195.2381108800028,2940.3407319014545,3106.525826484523,3381.257514317508,922.1719588110382,989.4814527231485,4602.99445442142,4062.1318613261096,1800.0777414448314,1605.681246281979,1821.756362153054,2172.7241519540535,2513.464438604352,2742.4682691422054,1513.465957848341,2001.962816261416,2934.148339574923,1674.2223816766837
,,,,,,,48.0,6,5238.6827923845,1443.0932176575202,2876.025267124868,1909.2998630821303,5949.761390260074,4028.235063800234,4527.570595145353,3803.8246152477855,1101.0134853457969,1391.923565575163,3461.40242934508,5234.63054666266,4011.0121223912115,3923.6914392812164,5382.674250035052,4162.66187220483,2203.877567209833,5832.1904891012055,7095.312414295519,2952.4227380327484,2593.326588931806,2929.6031933462127,3911.6905387041543,3460.9161105197136,3901.718644533778,4905.844708750307,5267.742852873732,2479.8628830080775,1267.9764285020158,663.9584983726388,2753.0261152887915,2911.472047879531,2287.2333932952934,5367.43060371587,2402.33579389601,2327.4287768745226,4122.017989571744,2766.939841210866,4809.89679560718,3658.398204580108,2385.723188096293,5193.542332021736,2504.110575906463,2751.6484707051764,2573.5343770516033,3610.992430922596,14549.063009065134,2465.6359020126893,2661.405584591215,3554.580386175076,1940.8627554680297,277.7565665730399,552.5257079064241,788.4406477417012,605.3940124968095,11678.632825801604,4630.032282609901,2598.306913558593,2258.80056338011,3025.4774039533095,3196.474338581274,3479.16079892403,948.8731677767964,1137.33364713691,5288.933902016391,4636.785647345871,2069.0524085125353,1845.6084275923395,2093.9703343312945,2497.3811058699744,2889.0361412769184,3152.258621263109,1739.6139699872829,2301.1039429559946,3372.580279234673,1898.732772248581
,,,,,,,48.0,7,5848.755789933256,1611.149241921587,3210.9539936896435,2128.9203687916806,6642.6433421961865,4497.3448638665,5054.830722907002,4246.80060216712,1229.2324711607537,1554.0206068188895,3864.5014980364404,5844.231637607189,4478.1162169424915,4380.6265674102915,6009.51583207464,4647.4264027375175,2460.5310515931656,6511.380672589367,7921.599990591956,3296.248363335438,2959.972967433711,3343.792599259315,4464.7281586078325,3950.22291855229,4453.34643139735,5599.436560734898,6012.500125049312,2830.4676798771284,1447.2438474701064,757.829428252234,2966.7470661381544,3134.5211985192336,2464.794257591806,5784.111129987686,2588.8322047012043,2508.1100596554493,4442.015537272028,2981.740932750763,5183.29525768363,3942.4043530474014,2570.9299405112224,5596.72368880145,2698.507894293613,2965.7084968036975,2773.3211545636577,3891.318407866702,15678.52544571811,2657.046382097962,2868.01391618631,4089.5556902830513,2232.9685816118927,319.5597858883506,635.6825300301183,907.1033953055045,696.5076773799619,13436.303067047107,5326.866412328485,2989.3601126522435,2598.7570108696323,3480.8210785526157,3677.5535778272947,4002.7852219366932,1091.6815040963356,1307.7508944158635,6079.980105320191,5292.732089902042,2379.0777170919155,2122.153052383179,2407.7293265088897,2871.5868748509215,3321.927216260457,3624.59076101501,2000.2764625622187,2645.8996842397005,3877.9252555252497,2152.4194757448267
,,,,,,,48.0,8,6251.158984379201,1721.9987329364099,3431.872456803871,2275.157501273177,7099.6671943169085,4806.768954488648,5402.6106793655445,4538.986870878289,1313.8055140167944,1660.939562222023,4130.3850128458735,6246.323563391153,4786.217347617745,4682.020263892808,6422.979559045256,4967.176328474903,2629.819288448149,6959.373455720122,8466.617984036999,3523.0352082607733,3296.4274302658187,3723.8751053552,4972.2252644107375,4399.237198261734,4959.549798330479,6235.913798989393,6695.929508274124,3152.20152418213,1611.7492870318695,843.9704490717571,3037.3986198957955,3211.0781556020406,2523.4920639304605,5921.856758321646,2650.483911374022,2567.8394098758918,4547.799849956008,3052.7495575124112,5306.732765913007,4036.2906828528717,2632.1553141547492,5730.006782702429,2762.7714699338576,3036.973658070989,2839.3663699956874,3983.9881522464616,16051.901451377518,2720.3225736841136,2936.314191327856,4715.796835117491,2574.9071469541122,368.49456057163894,733.0257588923878,1046.0097982950745,803.165172298338,15493.828742210839,6142.579211396823,3447.126296953321,2996.7094260475424,4013.845578963715,4240.704085710393,4615.739046956723,1258.852690360023,1462.4826775080176,6798.706003234549,5864.203085625286,2660.5678238720575,2373.244088209939,2692.609463787379,3211.3501745123867,3714.9743371770383,4053.44873110088,2236.9471823305043,2958.9599012262925,4336.757510489688,2363.6263277592634
,,,,,,,168.0,9,6471.307300182222,1782.642706623894,3552.7333957789037,2354.3128824957466,7349.697593919514,4976.049897743068,5592.875500245086,4698.837278822386,1360.0740651982903,1719.4332026244213,4275.84560759394,6466.301589525783,4954.774521024349,4846.907907113058,6649.178914638486,5142.106371538005,2722.4341605764735,7204.463102745978,8764.78856192398,3647.1066437359705,3530.8650006887797,3988.7121910496885,5325.843368127029,4712.105145738643,5312.266439101947,6679.4037639813105,7172.135184098419,3376.381939640163,1726.3747703324243,903.9925142974432,3104.473439556308,3280.952775556329,2579.2182933074205,6052.629015159408,2709.014500272613,2624.5449609521584,4648.2288320331645,3120.1633711173513,5423.921249807876,4125.424017606878,2690.281152327911,5856.542419030358,2823.7817032262587,3104.010840313858,2902.0680462780506,4071.966490934196,16406.3753026104,2780.395407569455,3001.1567651557293,5161.840202435911,2818.454588094979,403.3485969876838,802.3589573126102,1144.9465735285628,879.1325031355904,16959.31161901738,6723.574706183089,3773.172535329146,3280.1530117886887,4393.494928290232,4641.810833716918,5052.318453806994,1377.9211984802928,1557.5782537282948,7240.042597386278,6220.0394553569,2833.5669523854376,2527.5604551325087,2867.692046879857,3420.1630366001073,3956.534546958085,4317.017691719418,2382.4010611566096,3151.3614917006526,4618.748167523602,2497.09749537256
,,,,,,,168.0,10,6681.610188775281,1840.5745739056065,3668.1892170342485,2429.0467142352827,7588.546186376511,5137.76029423461,5774.631337049701,4851.538891008377,1404.2734044009426,1775.3109023359536,4414.80094485423,6676.441803972452,5115.793515611481,5004.421480482794,6865.262230306319,5309.213228426131,2810.907128832781,7438.591901387828,9049.624419068914,3765.6293824372597,3651.632660404518,4125.139791306373,5508.005427493572,4873.275259031172,5493.964120799356,6907.862218901688,7417.446737925865,3491.8657498963616,1785.4226919090027,934.9121502413865,3118.338806969037,3293.9325797960323,2590.737738124901,6079.661594977543,2721.1136474520004,2636.266845592309,4668.989004245871,3134.0988141162693,5448.145860357171,4143.8492097591725,2702.2966316991333,5882.699225914204,2836.3934296343455,3118.233809686361,2915.029419096064,4090.152927995258,16479.65034958104,2792.8133600876627,3014.560693379473,5424.551648052306,2961.899609569299,423.8769916494938,843.1949525099992,1203.218537982218,923.8758817899644,17822.454433900915,7065.770504691986,3965.207850476725,3447.0961379876194,4617.101502024573,4878.055426325977,5309.455798435096,1448.0503873068124,1567.6421094913412,7286.4349662232,6259.01887056141,2851.875252053269,2543.8915790950873,2886.220836902134,3442.261461861024,3982.0985864979853,4344.910892683066,2397.794278782223,3171.72313224435,4648.590915861798,2512.2716556176724
