,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76
z1,0.0,236.9925386456421,434.9303302368261,158.91690030665208,139.30578503425758,438.130038470787,414.02887832361347,383.0835028380663,404.74608101468897,669.4818790050088,189.2824819585038,248.17550147109444,258.56258465546193,659.8649873778826,327.16118250548914,512.5712037040878,599.8083879570311,93.29295400198876,292.00302918109776,305.9932975874185,1765.8138184389243,1376.5898774936884,2038.0492144574039,1604.7823300590392,1145.0725443149513,1695.2735714126839,1464.293952254763,1969.6619727747327,1967.2208813676182,1241.0629944660275,766.5940622474684,493.1879805495637,513.7659383052227,1053.7491561429836,791.3806095629284,1320.5613946632438,889.7733268064162,554.4741394747425,540.1371409413413,212.01269511684015,796.3749403230529,1110.7089705829878,700.1013555976064,294.72955317331764,653.196541944043,990.9281920216213,688.0352754404056,1184.6168408871526,718.1386283363937,1220.9211413296734,1110.4570693225455,1451.574413434247,1444.5038376917064,1678.7837846103232,1523.7077888660945,1017.0141097863353,1328.3079413642236,1545.951844891554,1347.1799780311037,917.5472013609108,1137.4260607971144,1241.2476286215215,1740.4400446717423,1399.1777454572143,438.3838174395372,635.8391841907833,632.4168333714766,911.2811536562947,597.2359918499094,892.2704171651575,457.13360295613467,1094.1507492894168,1325.004728702483,1414.336301994474,469.27324342305724,1018.3569480210692
z2,236.9925386456421,0.0,276.1352665279187,393.9540343816709,283.5963297853277,391.1948908417801,223.79742747999003,146.4325650102054,319.76111170693315,437.42091098742003,340.9171857282834,167.0593411399422,231.9066869704444,453.7279924432408,346.20339284960494,299.3847480161783,433.3778266182447,164.28189593449233,329.77840286567834,156.0270997457527,1975.8076442646889,1607.8238881260522,2267.352326315997,1839.5704697063143,1379.2457716708077,1919.7654149923662,1678.3471919570334,2167.8707585380403,2187.308025380662,1477.9242548085322,974.3280647978216,730.1715437369048,653.7463066556622,1257.4350400022943,1016.7338951737513,1477.5750265810295,1045.1816942798375,749.394816547252,770.6398975401079,443.4611166601137,1031.283207369421,1283.7670747150692,816.0741181971761,484.5668239235495,887.3036874098492,1219.6524546382225,851.8835511404086,1403.816142759161,955.1238024728641,1305.7086939562819,1167.0392513368636,1533.2052472944304,1563.8244750640013,1709.5854759950796,1529.1161979942697,1112.9272748501176,1397.2723266028588,1583.7273002356135,1453.1657612337344,1011.9847273965173,1243.872415781848,1291.5119711799946,1806.9131047768656,1489.216151881005,633.0014398276606,792.8020690209124,743.342479666825,1012.5928621315095,657.7866895353369,1025.7660436155381,682.1725082319945,1194.2667780283903,1388.2988123626228,1542.362770169538,605.0450416228978,1220.3884120781606
z3,434.9303302368261,276.1352665279187,0.0,584.2804367712247,533.8869235940895,657.0954058940977,425.6995945859775,237.51215662322033,129.3064580693774,469.6771385826353,413.16756736650143,441.8466380192144,213.57063902150202,572.5943137955616,622.3211206623027,149.59018660655545,619.2796001146164,341.9053876476931,289.7968182588876,132.47906579277978,1992.8762286182662,1695.4524897840543,2338.912715441878,1943.9470089579756,1486.0535728869684,1977.3273519925247,1710.1108566578598,2156.654494396445,2228.100904686183,1623.5125410463572,1014.5895433080939,883.9974428888434,620.2585221312046,1276.6866163902514,1097.9574482525763,1410.0824465000383,993.63266460067,782.7806559836886,881.0683351509283,587.4974112464029,1151.0257484397555,1247.237025380055,730.7377163841422,550.856997035253,1064.3542324666805,1305.1786026818233,826.8529051446799,1454.8965820248413,1104.5894983797998,1154.1480861190405,991.7479662678028,1371.7817869346097,1443.9009585234778,1498.2130156586104,1301.1810900331102,981.7929947682579,1226.5043521272298,1380.0822396924532,1320.4804963504353,884.9010696983592,1118.9174240806399,1105.8026881287758,1625.1969646348944,1765.32673782039,871.2268174100626,1053.1697262938671,1016.033202881875,1287.6199909250608,933.9089530456142,1295.2209959364088,886.7986584478165,1469.7098861779193,1663.363045804475,1814.4013191528272,870.7166395454618,1453.2868371671436
z4,158.91690030665208,393.9540343816709,584.2804367712247,0.0,180.4646659128422,504.6223845170655,549.4786379981183,540.3849917669584,535.55969244446,819.7686637211135,238.3636069043101,368.21948370293836,388.8789135708846,794.4123106159782,374.95650996169945,670.3890573216656,715.4344760959341,248.8358403035565,387.44301990631845,459.4667096210068,1648.937262509492,1234.753042255172,1897.8387672446618,1456.426432564681,998.6931073074379,1561.9697413758634,1344.3054255412446,1864.0336407166549,1838.5491824457306,1084.6608375453009,662.3609928957495,339.54509551920313,498.16278905967783,949.0532837581534,662.1853239592509,1258.426296618127,838.1077266877267,475.30258058849626,406.21694158459997,107.94760540198534,649.6295672727005,1036.9822710732656,691.6389108218063,256.9766848012374,494.3244557769424,854.5901782933649,636.2555526560641,1060.1695862099823,563.0232924467424,1219.2334751299393,1131.547543153837,1448.2869041174215,1412.4264846027186,1708.1430156147271,1571.3823930789272,1011.795374508867,1336.1674240042175,1572.2137928183988,1327.0696695373294,916.5992230046811,1120.9525366615487,1263.8504786757067,1744.5923923416867,1327.7714139542156,313.45640504400546,534.0848558950274,568.6495595942345,842.002722503268,574.9825987021528,799.6922190788606,302.5301391603376,1020.9345271840134,1273.1039311142065,1316.744632293094,398.7277358937119,874.5070099006094
z5,139.30578503425758,283.5963297853277,533.8869235940895,180.4646659128422,0.0,327.4519950483172,386.53043056031953,421.3388899447065,526.4273698559869,671.2616602066014,323.7580889602589,200.9102187167173,385.4118014729436,626.5056852282029,202.54743275709535,582.3901370077981,538.0535323197357,207.66130554919042,430.0358113638232,401.41715128185933,1829.096602475315,1406.0926865003403,2069.466887139053,1620.6769971243834,1166.558820593453,1737.9804705985846,1524.200071297137,2044.3840731228322,2016.1818100271266,1233.4651752633147,842.0370151016662,503.91496917233206,637.8333592585093,1129.0858715968461,841.0775858290107,1427.04350514585,1000.8861672366864,647.7012789891643,584.8617820512022,280.1157775779446,818.9327318563759,1209.7275361746852,828.0912515458734,404.9927923868368,632.4125294050539,1030.3433863187097,798.0811924249209,1239.5052967611196,720.0663995974845,1352.5484178220433,1246.9491020826745,1583.0950216451454,1566.0527429942495,1816.8993650170403,1662.9872642350053,1147.2121819242147,1462.4789318712328,1683.6210123417368,1473.2084479029895,1048.6872898827262,1264.3299956407106,1378.1460488114606,1874.1581127412617,1264.2944922581887,349.5227974471824,519.4267525175346,498.8244814879249,777.2333077315272,457.9310552442282,767.1176499145627,413.7047076511437,960.4882149763708,1186.6830641607503,1288.9444115019928,341.2273028406233,936.8309004245439
z6,438.130038470787,391.1948908417801,657.0954058940977,504.6223845170655,327.4519950483172,0.0,274.78948516186017,441.49459475230884,710.6724480244302,537.9425314545766,624.728299043096,229.5924641755383,605.3348956798592,419.7408054449085,132.62988289895353,626.5613244622236,282.2453304249558,453.9927809021148,686.0418554901086,546.8114347366298,2144.589267107075,1695.6200676673948,2356.2807294529507,1892.8907953036107,1450.7797861573933,2037.7875385096306,1838.4708495089658,2365.940457326895,2320.3118235560187,1480.6711063804778,1166.6482750867528,797.9269239581946,951.854682343905,1452.6622143720767,1153.6829519269106,1753.067237449773,1324.8518473334404,975.1189090000425,899.0025921112419,607.3539602580129,1111.0953685272104,1537.0363645273253,1136.723401742277,727.7130807883644,885.0829097634164,1333.1534411097628,1122.2623827137234,1551.8651771457382,994.9203113859114,1652.7467534335856,1530.8898595009953,1883.0899555903277,1882.5912273813685,2087.3235313165455,1914.568626355746,1451.1159873982333,1755.0121776726755,1958.2781197510992,1784.034442851933,1350.844535312316,1573.9839694539546,1659.2218685664702,2167.234213364521,1133.2881987242815,529.6727244814925,571.813580731596,454.80158406564516,683.4922959014215,318.16877071175116,737.6713906074867,658.7099833689076,855.2203179186249,1015.1192042513026,1223.8726714378956,391.64451194451044,1053.3838655494258
z7,414.02887832361347,223.79742747999003,425.6995945859775,549.4786379981183,386.53043056031953,274.78948516186017,0.0,189.43219714642032,511.8498203271036,293.5979410480795,556.6981683433775,185.63424951466615,451.88436791390814,246.0942848960305,314.59758753011397,362.90288468314003,210.48308084201173,370.49949232423717,552.4950289801146,347.8844230063934,2179.0023455894866,1784.0996219320837,2446.9840875766495,2004.4846558095978,1547.8878856638169,2107.8430617722793,1878.1158617052008,2378.691441322782,2380.977090743329,1619.9148007478861,1178.312266336391,886.4371268836591,876.2315326791519,1464.4158985306094,1204.473282030883,1699.894211435254,1267.1218189839014,959.4382610257646,951.1664522454154,624.9327910480367,1198.9634065936227,1502.8901551914141,1039.8392908891694,694.115510271263,1018.4142904488771,1401.8170373750083,1071.8784284656208,1598.6116388466635,1105.6663615639063,1525.2633778355414,1381.1464707247223,1751.4807743018173,1787.1603994103627,1912.285999791549,1722.4610943526968,1334.72863143349,1613.2232698610828,1789.6343203351048,1675.4469742247875,1233.9201503994695,1466.5240081206057,1503.10189169188,2020.8237394253551,1407.01271649285,706.2938942461903,809.0308411364322,715.5063467237779,956.9023069394858,590.5825816031972,1002.5122375752801,796.8093520780964,1129.8866110817867,1283.9668202235493,1497.2013559583281,617.6567601038662,1275.9744921049441
z8,383.0835028380663,146.4325650102054,237.51215662322033,540.3849917669584,421.3388899447065,441.49459475230884,189.43219714642032,0.0,334.95448504453066,303.3423109976751,465.9164699450668,259.32593849973466,310.33018584019777,356.8835926856665,437.84023458525104,186.4804479048124,383.4296689472613,305.0152346539325,414.7008714733057,183.84018130043341,2102.6291132863685,1748.5818256270727,2406.363638488505,1982.884188138917,1522.253746793375,2055.76108067508,1808.1981044787556,2287.1379825560807,2320.182755704333,1624.1450933313909,1103.3105997220378,876.0645933651085,756.4172069224727,1382.679062163976,1154.7620738033995,1575.621283112276,1146.6587208898516,874.4763323018134,912.1715217617524,586.8415998174248,1175.0628636389474,1392.1606664442552,901.8977939561902,613.3588966687591,1033.596845045,1359.2004178547725,960.6790775069903,1537.324730281037,1101.1493910582444,1364.6388021911234,1211.9367458537827,1587.5366991104881,1639.7428142499016,1731.7715473385922,1537.7368844542304,1181.2358463213095,1445.775892785888,1611.4316416417732,1522.4713550008355,1081.4799552481993,1315.982689108723,1330.543717820899,1849.7412113854625,1570.6456020980615,769.8036058781603,914.2664501439938,847.0984025127293,1105.8700270531147,741.9304371672947,1133.8196695116487,826.8164263619963,1284.1616973750665,1456.5194109032777,1642.7932126067276,722.9917952486823,1355.8896665549266
z9,404.74608101468897,319.76111170693315,129.3064580693774,535.55969244446,526.4273698559869,710.6724480244302,511.8498203271036,334.95448504453066,0.0,594.7906019220658,329.42313591934277,483.3476401638034,147.47624247103454,686.3467866696548,652.856987150547,278.88066580200586,716.3158662894417,319.4749061708536,182.93370708291678,166.7941886673353,1868.179260783084,1585.1945188164577,2223.011352753314,1837.3183066608196,1382.294033026695,1859.2704289621558,1588.0729565185927,2028.9141161586754,2106.52011375226,1532.160801821313,897.58828431869,805.2406768530377,495.15610821589115,1154.0902113155817,990.0557713692399,1280.8173440521948,864.7625591897089,667.3335755763894,785.636586398882,516.5486081399062,1054.4020994186903,1118.7307578751036,601.4376065826984,452.4661357021018,992.4131866480689,1196.5627120945692,700.7305136582926,1337.2335756970613,1019.7543573690548,1033.8557065011794,877.4185364405174,1254.564884685295,1318.514953330014,1400.4362349705348,1213.01072435346,856.9287130265016,1111.5891735874459,1278.2295954039325,1196.8378650851973,759.054593845136,993.5503487764773,995.5912645440703,1514.8007903855005,1785.0684469336488,840.3377546720876,1040.006842255137,1023.5442112297299,1300.5319062542512,960.2852703201827,1293.1061421016127,833.1643567817964,1483.8193564296228,1695.0633155631135,1815.1608437588752,867.4978847495786,1409.8274118175302
z10,669.4818790050088,437.42091098742003,469.6771385826353,819.7686637211135,671.2616602066014,537.9425314545766,293.5979410480795,303.3423109976751,594.7906019220658,0.0,769.0945251423034,473.51605941018926,607.305306518901,168.65617308444354,604.3899099710774,330.3444110416956,305.838369179028,601.5873394057168,710.2870843569192,475.243697823914,2405.968684951068,2044.8299565488428,2704.750826726374,2274.1804146795107,1814.5498054075513,2356.682685652294,2111.3318753864287,2589.16074888305,2622.6385249660257,1901.7086795009343,1406.4540613274078,1159.2887844939778,1054.4901331245044,1685.9929922213023,1454.072095693058,1867.4572533457592,1442.1023775254255,1177.8186425876427,1207.5962569763155,879.6748226130012,1465.8225303743716,1690.5167290791526,1189.2753168960326,916.2583517751724,1302.7669127646209,1657.0371145556521,1260.3159633059054,1839.4399590724283,1382.3694790873053,1623.0798213144021,1456.972418361751,1838.5878705149953,1913.0935652120038,1939.7022626495636,1728.5741031723198,1451.1793979596907,1691.608221259371,1828.673130665754,1790.1524999580206,1353.7469477926606,1588.0925263878457,1566.6409978915713,2084.4275209507755,1636.1852300106184,999.5776087872714,1097.3403577032832,992.2114804196569,1214.0103231795558,853.5195663474638,1275.5168466602033,1084.715038017069,1377.6715723643078,1495.2296925733551,1752.1939075669243,907.5146454455092,1568.4556574234796
