H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,H2PipeCompCapex,H2PipeCompEnergy,bus0,bus1,bus0_x,bus0_y,bus1_x,bus1_y
1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,192.83977018343904,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 0,DE1 11,8.585665971628911,49.23105928069339,8.05974729506191,47.888021872066325
2,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,140.56480167516264,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 0,DE1 12,8.585665971628911,49.23105928069339,9.580929922241054,48.46048443999676
3,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,163.12173380258994,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 0,DE1 18,8.585665971628911,49.23105928069339,6.961294780838478,49.74481058636263
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,117.90022256580347,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 0,DE1 7,8.585665971628911,49.23105928069339,8.614807726224376,50.079091212058565
5,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,176.6681518032778,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 1,DE1 14,9.745630895271958,51.04223934252158,11.750300384615384,51.22456746153846
6,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,172.81229164524115,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 1,DE1 15,9.745630895271958,51.04223934252158,10.358713631896448,52.22589869741621
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,167.00251144715912,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 1,DE1 7,9.745630895271958,51.04223934252158,8.614807726224376,50.079091212058565
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,161.31928818922682,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 1,DE1 9,9.745630895271958,51.04223934252158,8.718996773319988,52.01133541053488
9,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,111.30920270358725,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 10,DE1 16,8.442956595095849,53.183449756764006,7.383087924978485,52.70033777690464
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,129.48686174027887,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 10,DE1 5,8.442956595095849,53.183449756764006,9.656115621028528,53.772222705953226
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,164.5745524589509,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 10,DE1 9,8.442956595095849,53.183449756764006,8.718996773319988,52.01133541053488
12,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,161.896381937343,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 11,DE1 12,8.05974729506191,47.888021872066325,9.580929922241054,48.46048443999676
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,91.499464775641,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 11,FR1 17,8.05974729506191,47.888021872066325,7.098681162538576,48.02632462435081
14,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,223.27805713822065,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 12,DE1 19,9.580929922241054,48.46048443999676,10.723084073001646,49.88281742234528
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,168.4000708436932,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,DE1 12,DE1 4,9.580929922241054,48.46048443999676,11.399736085399406,48.35883243095018
