Resource,Zone,THERM,STOR,HYDRO,FLEX,MUST_RUN,VRE,LDS,Num_VRE_Bins,CapRes_1,ESR_1,ESR_2,Resource_Type,region,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,cluster,MGA,R_ID,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Self_Disch,Eff_Up,Eff_Down
DE1 0 CCGT,1,1,0,0,0,0,0,0,0,0,0,0,CCGT,DE1 0,1163.16,0,0,1,0,-1,0,0,0,0,46264.07931,20000,0,0,0,0,4,0,6.661622941,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,0,1.18,2,1,0.7,0.7,0.3,0,0,0
DE1 0 OCGT,1,1,0,0,0,0,0,0,0,0,0,0,OCGT,DE1 0,359.04,0,0,1,0,-1,0,0,0,0,23132.03965,15000,0,0,0,0,3,0,9.826017884,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,1.88,1,1,1,1,0.25,0,0,0
DE1 0 biomass,1,1,0,0,0,0,0,0,0,0,0,0,biomass,DE1 0,148.2,0,0,0,0,-1,0,0,0,0,127746.689,99999.99415,0,0,0,0,0,0,10.03529412,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,4.3,2,1,0.3,0.3,0.1,0,0,0
DE1 0 coal,1,1,0,0,0,0,0,0,0,0,0,0,coal,DE1 0,5874.248611,0,0,0,0,-1,0,0,0,0,65680.53612,24999.988,0,0,0,0,6,0,9.97307352,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,650,3581,4.00307692,3,1,0.3,0.3,0.3,0,0,0
DE1 0 nuclear,1,1,0,0,0,0,0,0,0,0,0,0,nuclear,DE1 0,2722,0,0,1,0,-1,0,0,0,0,276194,128794,0,0,0,0,2.65,0,10.44,uranium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1000,1000,0,22,6,0.25,0.25,0.5,0,0,0
DE1 0 oil,1,1,0,0,0,0,0,0,0,0,0,0,oil,DE1 0,70,0,0,0,0,-1,0,0,0,0,23132.03965,6000,0,0,0,0,0,0,11.81645022,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,650,0,0,1,1,0.3,0.3,0.2,0,0,0
DE1 0 onwind,1,0,0,0,0,0,1,0,1,0,0,0,onwind,DE1 0,590.61855,0,0,1,0,6578.035891,0,0,0,0,60143.3031,25485.7096,0,0,0,0,2.3,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0
DE1 0 ror,1,0,0,0,0,1,0,0,0,0,0,0,ror,DE1 0,177.68803,0,0,0,0,-1,0,0,0,0,125442.2265,60000,0,0,0,0,0,0,3.791111111,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0
DE1 0 solar,1,0,0,0,0,0,1,0,1,0,0,0,solar,DE1 0,2040.925306,0,0,1,0,10458.2582,0,0,0,0,38407.17767,25000.002,0,0,0,0,0.01,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0
DE1 1 CCGT,2,1,0,0,0,0,0,0,0,0,0,0,CCGT,DE1 1,3351,0,0,1,0,-1,0,0,0,0,46264.07931,20000,0,0,0,0,4,0,6.661622941,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,500,0,1.18,2,1,0.7,0.7,0.3,0,0,0
DE1 1 OCGT,2,1,0,0,0,0,0,0,0,0,0,0,OCGT,DE1 1,175.61,0,0,1,0,-1,0,0,0,0,23132.03965,15000,0,0,0,0,3,0,9.826017884,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,100,0,1.88,1,1,1,1,0.25,0,0,0
DE1 1 biomass,2,1,0,0,0,0,0,0,0,0,0,0,biomass,DE1 1,18.1,0,0,0,0,-1,0,0,0,0,127746.689,99999.99415,0,0,0,0,0,0,10.03529412,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,0,4.3,2,1,0.3,0.3,0.1,0,0,0
DE1 1 coal,2,1,0,0,0,0,0,0,0,0,0,0,coal,DE1 1,1064.7,0,0,0,0,-1,0,0,0,0,65680.53612,24999.988,0,0,0,0,6,0,9.97307352,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,650,3581,4.00307692,3,1,0.3,0.3,0.3,0,0,0
